txid,amount,shopper_country,issuer_country,shopper_email,creation_date,card_number_hash,txvariantcode,bin,currency,fraud
0,664968,UA,UA,tess.haslett@aol.com,01/10/2016 01:40 PM,f075702dbc3300ea59,mcpro,960257,NOK,0
1,340322,UA,BE,rayford.vesey@gmail.com,01/10/2016 01:51 PM,300e097e3d077bf330,mc,465453,CNY,1
2,962272,UA,DE,wanda.pakele@hotmail.com,01/10/2016 02:09 PM,bd9f5c8d4f1d5e4c2d,visasuperpremiumdebit,678348,GBP,0
3,968878,FR,FR,thomasena.sprayberry@msn.com,01/10/2016 02:24 PM,e4c532c1c964bd5c45,visapurchasing,149448,GBP,0
4,611205,CN,CN,noma.moxley@yahoo.com,01/10/2016 02:29 PM,47dfc61e93d21c4d05,mcpro,719623,GBP,0
5,756633,US,US,romelia.salgado@yahoo.com,01/10/2016 03:22 PM,521dcd106a5eb1db79,visasaraivacard,730284,USD,1
6,535186,NI,NI,rashad.legendre@aol.com,01/10/2016 03:29 PM,ffad9d38bd642646f7,amex_androidpay,237286,AUD,1
7,488253,NI,NI,rashad.legendre@aol.com,01/10/2016 03:29 PM,ffad9d38bd642646f7,amex_androidpay,237286,GBP,1
8,44953,NI,NI,rashad.legendre@aol.com,01/10/2016 03:30 PM,ffad9d38bd642646f7,amex_androidpay,237286,NOK,1
9,51162,NI,NI,rashad.legendre@aol.com,01/10/2016 03:30 PM,ffad9d38bd642646f7,amex_androidpay,237286,GBP,1
10,501576,NI,NI,rashad.legendre@aol.com,01/10/2016 03:32 PM,ffad9d38bd642646f7,amex_androidpay,237286,AUD,1
11,849932,NI,NI,rashad.legendre@aol.com,01/10/2016 03:33 PM,ffad9d38bd642646f7,amex_androidpay,237286,USD,1
12,229559,UA,CN,rayford.vesey@gmail.com,01/10/2016 03:46 PM,fb59851f4994151a62,vpay,827245,EUR,1
13,944296,UA,UA,leone.bracero@yahoo.com,01/10/2016 04:31 PM,88ac9bc6c071b4efb3,visasuperpremiumdebit,758709,CNY,0
14,673400,BE,FI,mallory.heyer@gmail.com,01/10/2016 04:54 PM,e41a11d39f65a91959,visa_applepay,136672,GBP,1
15,416101,CA,CA,ester.hooker@gmail.com,01/10/2016 05:14 PM,28d5df04bf104e09f5,visa_samsungpay,920507,CAD,1
16,714581,NI,NI,imogene.kasper@aol.com,01/10/2016 06:18 PM,ec85034df8640fba96,mcdebit,334632,EUR,0
17,627927,GB,GB,lon.witman@gmail.com,01/10/2016 06:43 PM,25e2b9f00eddb42703,mc_samsungpay,473884,AUD,0
18,596170,AU,AU,lissette.walrath@yahoo.com,01/10/2016 07:38 PM,c87668bfb5cfab9876,mcstandardcredit,529735,CAD,0
19,729718,NO,NO,beata.swanner@aol.com,01/10/2016 08:10 PM,c2660f903e7c0f63b1,mccorporatedebit,372693,SEK,0
20,479021,NI,NI,sydney.rusek@gmail.com,01/10/2016 09:53 PM,7eb24701696c96759f,mc_applepay,674090,GBP,0
21,647893,RO,RO,lera.moretti@msn.com,01/10/2016 10:09 PM,cc96f1600ad7b627ed,mcsuperpremiumdebit,115503,EUR,1
22,228916,BE,BE,lavenia.jaffee@aol.com,01/10/2016 10:36 PM,a6168ef815eb1a6965,mcdebit,421211,SEK,0
23,513561,NO,NO,annabel.stankiewicz@msn.com,01/10/2016 10:56 PM,764ecd32be997f7e85,bcmc_mobile,553514,NOK,0
24,816899,SE,SE,gaynelle.beausoleil@gmail.com,02/10/2016 12:56 AM,7a545dae0848b64ec2,visapurchasingdebit,726548,CNY,0
25,103285,RO,RO,magaret.franchi@gmail.com,02/10/2016 01:35 AM,fbd79d00c09cfe0828,visacorporate,226526,CNY,0
26,248843,GB,GB,bonnie.miles@yahoo.com,02/10/2016 02:10 AM,089246e85b9494910e,mcsuperpremiumcredit,473014,CAD,0
27,970837,NL,NL,demetrice.lorenzo@gmail.com,02/10/2016 03:21 AM,4a94b0fe52a06c6d05,visa_applepay,565086,NOK,0
28,949182,AU,AU,elyse.manalo@gmail.com,02/10/2016 03:51 AM,ef8dbc119506ab76f4,visacommercialpremiumdebit,408202,USD,0
29,368953,BE,BE,beata.swanner@msn.com,02/10/2016 04:43 AM,66f11e29eef5248339,mcpurchasingdebit,863641,SEK,0
30,330206,NI,NI,roosevelt.poor@aol.com,02/10/2016 06:29 AM,2f0dcbd84c1b0e2b65,mcsuperpremiumdebit,132986,GBP,0
31,56864,CN,CA,conchita.brodeur@msn.com,02/10/2016 06:45 AM,bc3b8e440d1387b20a,mccommercialcredit,795071,EUR,0
32,503599,UA,DE,rayford.vesey@gmail.com,02/10/2016 08:30 AM,50995e30526a56a786,visacorporatecredit,337065,USD,1
33,232830,FI,FI,minh.admire@hotmail.com,02/10/2016 09:04 AM,c24c031c19e7130817,visastandardcredit,347975,EUR,0
34,790086,NL,NL,myrta.tynan@aol.com,02/10/2016 09:18 AM,cde3a5da21c3b15cd2,visasaraivacard,338725,USD,0
35,981092,FI,FI,annalisa.anger@gmail.com,02/10/2016 09:49 AM,0cc303e14ceaf4c064,visacorporate,360903,GBP,0
36,368190,FR,FR,lashawnda.chenier@gmail.com,02/10/2016 11:40 AM,f13b2413f6311157f2,visacommercialpremiumcredit,171909,NOK,0
37,347881,DE,DE,chantel.albus@aol.com,02/10/2016 11:42 AM,ebfed12ef10fe233f0,amex,438482,EUR,0
38,503376,CA,CA,ester.hooker@gmail.com,02/10/2016 12:37 PM,28d5df04bf104e09f5,visa_samsungpay,920507,EUR,1
39,958326,NL,NL,marta.nathaniel@msn.com,02/10/2016 12:40 PM,746818297b2f9f4af8,visacommercialsuperpremiumdebit,663749,EUR,0
40,588806,RO,RO,teresa.hilgefort@gmail.com,02/10/2016 12:48 PM,1d2968f8ce0f8f6805,visadebit,135568,NOK,0
41,856855,FI,FI,minh.admire@hotmail.com,02/10/2016 02:50 PM,68245a1e7faeb06525,mcpremiumdebit,357370,AUD,0
42,243836,SE,SE,rebecka.sedlak@yahoo.com,02/10/2016 03:55 PM,5b4126e6a361f3bed1,vpay,184827,SEK,0
43,325396,US,US,teresa.hilgefort@gmail.com,02/10/2016 04:28 PM,0ce4344d48b7121341,mcpremiumdebit,480199,USD,0
44,943535,NI,NI,imogene.kasper@aol.com,02/10/2016 05:10 PM,87a94c703cccaec08f,visapurchasing,101321,AUD,0
45,160300,NL,RO,thea.coughlin@gmail.com,02/10/2016 05:58 PM,adc5a97b2cf7ed495c,electron,714789,AUD,1
46,394591,UA,UA,bryce.riffel@hotmail.com,02/10/2016 06:03 PM,3bc5b15043fdd5bfca,visapurchasing,971741,USD,0
47,380149,NO,UA,rodolfo.isabelle@msn.com,02/10/2016 06:13 PM,bd6e6667de8a96e252,mccorporatecredit,486715,SEK,1
48,550333,NO,NO,conchita.brodeur@hotmail.com,02/10/2016 06:14 PM,177bf0047bade5abf9,mcfleetdebit,942562,SEK,0
49,196316,AU,AU,rubye.granado@yahoo.com,02/10/2016 06:21 PM,8ae5a02ad204c0fff5,mcpremiumcredit,156687,GBP,0
50,40476,US,US,annamarie.ogle@msn.com,02/10/2016 06:41 PM,b044f672c8fa954e25,visaproprietary,287989,NOK,0
51,781438,BE,BE,chery.gateley@gmail.com,02/10/2016 07:19 PM,8645aa16e1f89e5d37,visahipotecario,255497,EUR,0
52,849394,UA,FR,rayford.vesey@gmail.com,02/10/2016 10:29 PM,a44d35b40847118822,electron,664291,NOK,1
53,976062,NI,NI,natasha.trader@msn.com,03/10/2016 12:45 AM,0c2b423d8ec75f79c9,visabusiness,441089,CAD,0
54,645367,AU,AU,oda.schleich@gmail.com,03/10/2016 02:59 AM,74ce81b1bbb9f143e5,visa_samsungpay,871416,CNY,0
55,241919,FR,FR,thomasena.sprayberry@msn.com,03/10/2016 04:42 AM,f98fee95bbe18339d1,visadebit,240724,SEK,0
56,380566,NL,NL,myrta.tynan@aol.com,03/10/2016 07:05 AM,385a817d1be91bc90d,mcstandarddebit,395229,EUR,0
57,606978,CA,CA,claire.moir@hotmail.com,03/10/2016 08:29 AM,544b276517c6d5720a,mcsuperpremiumcredit,940738,NOK,0
58,94718,FI,FI,lera.moretti@msn.com,03/10/2016 08:34 AM,2f4cc33fc82037458f,visadankort,384106,NOK,0
59,829784,FI,FI,preston.vartanian@msn.com,03/10/2016 09:13 AM,a6d1b8b0e15f85d669,amex,421778,CNY,0
60,187487,NI,NI,lavenia.jaffee@gmail.com,03/10/2016 09:23 AM,262f8258c1a50b039a,visa_androidpay,738844,CNY,1
